dataset_id,gesture,ax,ay,az,gx,gy,gz
1,throwing,-0.0588,0.3418,1.0444,-8.2397,-1.7853,2.9297
1,throwing,-0.0588,0.3430,1.0444,-8.3389,-1.5411,2.8992
1,throwing,-0.0586,0.3403,1.0454,-8.3618,-1.2283,2.8458
1,throwing,-0.0564,0.3403,1.0415,-8.4229,-1.1063,2.6093
1,throwing,-0.0576,0.3384,1.0349,-8.4381,-0.9003,2.6245
1,throwing,-0.0586,0.3318,1.0457,-8.3694,-0.9003,2.8152
1,throwing,-0.0645,0.3335,1.0469,-8.2932,-0.8621,2.9755
1,throwing,-0.0564,0.3308,1.0476,-8.0872,-0.6180,3.1281
1,throwing,-0.0635,0.3291,1.0493,-8.1635,-0.3738,3.1204
1,throwing,-0.0654,0.3320,1.0518,-8.0872,-0.2594,3.1586
1,throwing,-0.0652,0.3330,1.0640,-8.0414,-0.3204,3.1357
1,throwing,-0.0603,0.3359,1.0654,-8.0414,-0.2747,3.2425
1,throwing,-0.0591,0.3313,1.0610,-8.1177,-0.1907,3.2349
1,throwing,-0.0640,0.3267,1.0635,-7.9956,-0.1755,3.2730
1,throwing,-0.0654,0.3301,1.0713,-7.8812,-0.1831,3.4027
1,throwing,-0.0657,0.3274,1.0706,-7.6981,-0.1755,3.2501
1,throwing,-0.0679,0.3286,1.0725,-7.5989,-0.1526,3.1891
1,throwing,-0.0679,0.3276,1.0784,-7.5455,-0.0305,3.3188
1,throwing,-0.0686,0.3267,1.0754,-7.5455,-0.0763,3.3722
1,throwing,-0.0706,0.3232,1.0691,-7.5073,-0.0992,3.1662
1,throwing,-0.0757,0.3242,1.0688,-7.3776,0.0153,3.1128
1,throwing,-0.0745,0.3218,1.0786,-7.3013,-0.0839,3.1815
1,throwing,-0.0798,0.3203,1.0789,-7.1716,-0.0534,2.9373
1,throwing,-0.0833,0.3240,1.0735,-7.0038,-0.0687,2.7924
1,throwing,-0.0854,0.3232,1.0720,-6.9580,-0.1068,2.9068
1,throwing,-0.0840,0.3203,1.0725,-6.9199,-0.0763,2.9602
1,throwing,-0.0796,0.3176,1.0813,-7.0267,-0.0534,2.9526
1,throwing,-0.0798,0.3171,1.0747,-6.9962,-0.0916,2.9144
1,throwing,-0.0830,0.3125,1.0876,-6.7368,-0.2670,2.7618
1,throwing,-0.0845,0.3184,1.0879,-6.6376,-0.2670,2.5406
1,throwing,-0.0894,0.3213,1.0886,-6.6757,-0.2518,2.6016
1,throwing,-0.0896,0.3188,1.0842,-6.7444,-0.3891,2.5635
1,throwing,-0.0906,0.3206,1.0879,-6.6986,-0.3967,2.4490
1,throwing,-0.0930,0.3228,1.0964,-6.6147,-0.5264,2.3499
1,throwing,-0.0906,0.3218,1.0977,-6.5002,-0.7248,2.3117
1,throwing,-0.0918,0.3235,1.1003,-6.3629,-0.7248,2.2354
1,throwing,-0.0991,0.3293,1.0920,-6.2332,-0.7706,2.2659
1,throwing,-0.0974,0.3250,1.0859,-6.1874,-0.7858,2.4414
1,throwing,-0.0989,0.3228,1.0923,-6.1493,-0.8850,2.2278
1,throwing,-0.1018,0.3276,1.0918,-6.1111,-1.0529,2.0828
1,throwing,-0.1067,0.3240,1.0979,-5.9586,-1.1444,2.1591
1,throwing,-0.1047,0.3308,1.0869,-5.7755,-1.1902,2.1667
1,throwing,-0.1001,0.3315,1.0884,-5.8060,-1.2589,2.2507
1,throwing,-0.1011,0.3340,1.0916,-5.8670,-1.4343,2.2964
1,throwing,-0.1077,0.3367,1.0857,-5.6763,-1.6174,2.3499
1,throwing,-0.1033,0.3384,1.0872,-5.5618,-1.7090,2.3880
1,throwing,-0.1104,0.3372,1.0862,-5.5923,-1.7548,2.3193
1,throwing,-0.1145,0.3357,1.0828,-5.5923,-1.8234,2.4643
1,throwing,-0.1128,0.3381,1.0754,-5.5313,-1.9379,2.5711
1,throwing,-0.1140,0.3445,1.0840,-5.5389,-2.1133,2.7390
1,throwing,-0.1194,0.3511,1.0845,-5.5008,-1.8692,2.7847
1,throwing,-0.1133,0.3547,1.0725,-5.4474,-1.8311,2.9221
1,throwing,-0.1128,0.3518,1.0745,-5.3024,-1.9302,2.9755
1,throwing,-0.1152,0.3508,1.0808,-5.1956,-2.1820,3.1891
1,throwing,-0.1123,0.3499,1.0801,-5.2338,-2.2507,3.2196
1,throwing,-0.1143,0.3569,1.0742,-5.1575,-2.2202,3.2730
1,throwing,-0.1194,0.3599,1.0876,-5.2032,-2.1820,3.5095
1,throwing,-0.1160,0.3545,1.0891,-5.0659,-2.1896,3.5553
1,throwing,-0.1147,0.3540,1.0813,-5.0659,-2.0370,3.8147
1,throwing,-0.1245,0.3604,1.0759,-5.0507,-2.0065,3.9368
1,throwing,-0.1252,0.3635,1.0747,-5.1422,-1.9760,4.1046
1,throwing,-0.1230,0.3665,1.0779,-5.0201,-1.9608,4.3259
1,throwing,-0.1277,0.3674,1.0808,-4.9667,-1.8311,4.4022
1,throwing,-0.1270,0.3650,1.0776,-5.0507,-1.8082,4.4785
1,throwing,-0.1296,0.3628,1.0706,-4.9210,-1.7242,4.6844
1,throwing,-0.1243,0.3674,1.0723,-4.8294,-1.5640,4.9973
1,throwing,-0.1265,0.3699,1.0645,-4.8599,-1.7548,5.2490
1,throwing,-0.1270,0.3689,1.0752,-4.7989,-1.7319,5.3787
1,throwing,-0.1243,0.3713,1.0762,-4.8447,-1.6937,5.2948
1,throwing,-0.1294,0.3743,1.0703,-5.1041,-1.6861,5.4932
1,throwing,-0.1292,0.3748,1.0706,-5.1956,-1.7624,5.6839
1,throwing,-0.1287,0.3762,1.0771,-5.1193,-1.6327,6.0120
1,throwing,-0.1287,0.3796,1.0752,-5.1117,-1.5945,6.2256
1,throwing,-0.1304,0.3840,1.0708,-5.1727,-1.5869,6.3553
1,throwing,-0.1350,0.3845,1.0652,-5.3406,-1.5106,6.5613
1,throwing,-0.1311,0.3848,1.0630,-5.4626,-1.2970,6.8207
1,throwing,-0.1287,0.3887,1.0564,-5.7297,-1.2589,7.0267
1,throwing,-0.1301,0.3884,1.0618,-5.8746,-1.1520,7.3395
1,throwing,-0.1296,0.3848,1.0579,-5.9052,-1.0147,7.4615
1,throwing,-0.1270,0.3835,1.0510,-5.9357,-0.8240,7.5989
1,throwing,-0.1289,0.3848,1.0566,-6.0577,-0.6409,7.9498
1,throwing,-0.1331,0.3816,1.0535,-6.0730,-0.5341,8.1558
1,throwing,-0.1230,0.3796,1.0569,-6.0501,-0.3662,8.5373
1,throwing,-0.1294,0.3823,1.0569,-6.1722,-0.4501,8.7662
1,throwing,-0.1274,0.3872,1.0576,-6.2943,-0.4501,9.0714
1,throwing,-0.1309,0.3850,1.0591,-6.3019,-0.4196,9.3384
1,throwing,-0.1313,0.3804,1.0579,-6.2943,-0.4120,9.5596
1,throwing,-0.1292,0.3809,1.0508,-6.1874,-0.1984,9.5978
1,throwing,-0.1230,0.3853,1.0532,-6.2637,-0.0305,9.9106
1,throwing,-0.1306,0.3835,1.0679,-6.3248,-0.0916,10.2234
1,throwing,-0.1304,0.3850,1.0693,-6.2485,-0.0458,10.4446
1,throwing,-0.1343,0.3774,1.0576,-6.1264,0.0687,10.5896
1,throwing,-0.1350,0.3733,1.0479,-6.0043,0.1907,10.8032
1,throwing,-0.1316,0.3718,1.0493,-5.9280,0.2670,11.0550
1,throwing,-0.1331,0.3723,1.0505,-5.7602,0.3433,11.2457
1,throwing,-0.1318,0.3696,1.0525,-5.8441,0.3586,11.4288
1,throwing,-0.1289,0.3713,1.0552,-5.7297,0.4120,11.5509
1,throwing,-0.1316,0.3694,1.0527,-5.6915,0.6638,11.6043
1,throwing,-0.1294,0.3689,1.0483,-5.6686,0.8240,11.7340
1,throwing,-0.1216,0.3691,1.0581,-5.7068,0.7401,12.1002
1,throwing,-0.1245,0.3616,1.0525,-5.5084,0.7477,12.2604
1,throwing,-0.1262,0.3667,1.0525,-5.4398,0.6943,12.3291
1,throwing,-0.1240,0.3630,1.0564,-5.3482,0.8621,12.4283
1,throwing,-0.1262,0.3577,1.0564,-5.3329,0.9308,12.4054
1,throwing,-0.1313,0.3599,1.0520,-5.4932,0.9460,12.4969
1,throwing,-0.1304,0.3606,1.0608,-5.4626,0.9232,12.6572
1,throwing,-0.1245,0.3596,1.0659,-5.5618,0.9308,12.8555
1,throwing,-0.1230,0.3591,1.0625,-5.4932,0.8774,13.0005
1,throwing,-0.1279,0.3584,1.0635,-5.4855,0.8316,13.0310
1,throwing,-0.1221,0.3594,1.0588,-5.5771,1.0452,12.9395
1,throwing,-0.1274,0.3582,1.0530,-5.7907,1.0147,12.8326
1,throwing,-0.1274,0.3591,1.0564,-5.7144,0.9079,12.9852
1,throwing,-0.1282,0.3601,1.0530,-5.7068,1.0071,13.0615
1,throwing,-0.1272,0.3586,1.0645,-5.7907,1.0452,13.0768
1,throwing,-0.1260,0.3579,1.0688,-5.8594,1.0452,13.1149
1,throwing,-0.1191,0.3567,1.0703,-5.9433,1.1444,13.1683
1,throwing,-0.1135,0.3572,1.0671,-6.0349,1.0376,13.3591
1,throwing,-0.1155,0.3625,1.0637,-5.9967,0.9308,13.4277
1,throwing,-0.1196,0.3621,1.0637,-6.0654,0.7858,13.4430
1,throwing,-0.1167,0.3596,1.0649,-6.2714,0.8774,13.4277
1,throwing,-0.1111,0.3560,1.0620,-6.3934,0.9384,13.6337
1,throwing,-0.1138,0.3542,1.0723,-6.3477,0.8392,13.8474
1,throwing,-0.1213,0.3542,1.0718,-6.2180,0.6409,13.7482
1,throwing,-0.1184,0.3584,1.0688,-6.2943,0.4044,13.7177
1,throwing,-0.1155,0.3550,1.0686,-6.3629,0.2899,13.8397
1,throwing,-0.1108,0.3552,1.0703,-6.3858,0.2441,13.9313
1,throwing,-0.1138,0.3569,1.0676,-6.3934,0.0458,13.9389
1,throwing,-0.1123,0.3521,1.0684,-6.2714,-0.0229,13.9694
1,throwing,-0.1121,0.3589,1.0740,-6.2866,-0.0076,13.9923
1,throwing,-0.1116,0.3633,1.0872,-6.3629,-0.1221,13.9694
1,throwing,-0.1130,0.3572,1.0833,-6.3553,-0.3967,13.8092
1,throwing,-0.1084,0.3513,1.0752,-6.2714,-0.5798,14.0152
1,throwing,-0.1050,0.3518,1.0759,-6.2866,-0.4883,14.1602
1,throwing,-0.1040,0.3511,1.0793,-6.3324,-0.7248,14.2136
1,throwing,-0.1062,0.3496,1.0886,-6.1417,-0.9613,14.2288
1,throwing,-0.1106,0.3557,1.0776,-5.9433,-1.0223,14.4272
1,throwing,-0.1072,0.3604,1.0779,-5.9662,-1.0071,14.3814
1,throwing,-0.1060,0.3586,1.0811,-5.8823,-1.1826,14.3356
1,throwing,-0.1079,0.3567,1.0745,-5.7983,-1.4038,14.4501
1,throwing,-0.1096,0.3574,1.0747,-5.8517,-1.6403,14.4730
1,throwing,-0.1072,0.3572,1.0815,-5.8823,-1.6937,14.6179
1,throwing,-0.1001,0.3550,1.0815,-5.7449,-1.8387,14.9231
1,throwing,-0.0981,0.3494,1.0781,-5.7526,-1.8463,14.8849
1,throwing,-0.0984,0.3530,1.0789,-5.7068,-1.9150,14.8239
1,throwing,-0.1016,0.3574,1.0740,-5.7220,-1.9226,14.9612
1,throwing,-0.0950,0.3560,1.0718,-5.6534,-1.9226,15.1978
1,throwing,-0.0984,0.3489,1.0747,-5.5695,-2.0981,15.2359
1,throwing,-0.0969,0.3525,1.0779,-5.5313,-2.1286,15.2664
