dataset_id,gesture,ax,ay,az,gx,gy,gz
1,drinking,0.0361,0.2378,1.1497,2.0905,3.6469,-0.8163
1,drinking,0.0356,0.2378,1.1492,2.1515,3.5553,-0.7935
1,drinking,0.0376,0.2397,1.1448,2.1362,3.4027,-0.8621
1,drinking,0.0374,0.2385,1.1528,2.2430,3.2578,-0.7553
1,drinking,0.0298,0.2373,1.1458,2.1515,3.1738,-0.7095
1,drinking,0.0286,0.2373,1.1350,2.0752,3.0212,-0.7477
1,drinking,0.0320,0.2419,1.1367,2.0218,2.9678,-0.7019
1,drinking,0.0354,0.2378,1.1365,1.9073,2.9831,-0.5569
1,drinking,0.0327,0.2402,1.1333,1.8539,2.8839,-0.5417
1,drinking,0.0317,0.2441,1.1418,1.8082,2.7618,-0.4730
1,drinking,0.0344,0.2463,1.1421,1.7395,2.5940,-0.5798
1,drinking,0.0344,0.2375,1.1367,1.6632,2.4872,-0.6790
1,drinking,0.0359,0.2366,1.1404,1.5488,2.5635,-0.7553
1,drinking,0.0312,0.2361,1.1389,1.3733,2.6474,-0.5875
1,drinking,0.0388,0.2380,1.1377,1.3504,2.6169,-0.5493
1,drinking,0.0347,0.2434,1.1445,1.4191,2.2736,-0.3891
1,drinking,0.0339,0.2417,1.1379,1.4343,2.1210,-0.3128
1,drinking,0.0354,0.2407,1.1423,1.1978,1.8463,-0.3815
1,drinking,0.0332,0.2385,1.1431,0.9384,1.8539,-0.5035
1,drinking,0.0364,0.2378,1.1421,0.7095,1.7853,-0.5646
1,drinking,0.0391,0.2368,1.1438,0.7019,1.5259,-0.6027
1,drinking,0.0410,0.2380,1.1348,0.7019,1.3351,-0.5798
1,drinking,0.0444,0.2427,1.1382,0.5798,1.3809,-0.4272
1,drinking,0.0422,0.2405,1.1394,0.5493,1.3809,-0.5264
1,drinking,0.0396,0.2410,1.1367,0.5035,1.2665,-0.4120
1,drinking,0.0330,0.2378,1.1326,0.4578,1.1292,-0.5112
1,drinking,0.0403,0.2478,1.1272,0.4578,1.0452,-0.5112
1,drinking,0.0400,0.2424,1.1326,0.3052,1.2436,-0.3128
1,drinking,0.0410,0.2422,1.1367,0.3357,1.3123,-0.2670
1,drinking,0.0486,0.2417,1.1287,0.3738,1.4114,-0.1602
1,drinking,0.0437,0.2405,1.1296,0.5569,1.5106,-0.1221
1,drinking,0.0413,0.2456,1.1313,0.4501,1.4572,-0.2289
1,drinking,0.0432,0.2488,1.1284,0.4883,1.5030,-0.2289
1,drinking,0.0344,0.2466,1.1267,0.5188,1.5259,-0.0763
1,drinking,0.0396,0.2441,1.1255,0.5798,1.7471,0.1068
1,drinking,0.0454,0.2473,1.1296,0.8163,1.8005,0.1526
1,drinking,0.0422,0.2510,1.1365,1.0376,1.7700,0.1144
1,drinking,0.0417,0.2458,1.1357,1.0300,1.8005,0.1068
1,drinking,0.0435,0.2454,1.1287,1.0757,1.9455,0.4120
1,drinking,0.0442,0.2485,1.1267,1.2512,2.1286,0.4654
1,drinking,0.0479,0.2476,1.1365,1.4191,1.8692,0.5264
1,drinking,0.0493,0.2500,1.1360,1.6098,1.8082,0.5951
1,drinking,0.0466,0.2490,1.1438,1.7776,1.7014,0.6943
1,drinking,0.0513,0.2461,1.1404,1.9379,1.7014,0.6866
1,drinking,0.0493,0.2483,1.1367,2.1439,1.5717,0.7172
1,drinking,0.0513,0.2439,1.1401,2.4643,1.5106,0.6790
1,drinking,0.0447,0.2444,1.1318,2.5940,1.6556,0.8011
1,drinking,0.0486,0.2415,1.1357,2.7161,1.7090,0.8850
1,drinking,0.0537,0.2432,1.1411,2.9602,1.5793,0.9537
1,drinking,0.0544,0.2405,1.1477,3.1967,1.5182,0.8926
1,drinking,0.0510,0.2473,1.1343,3.4485,1.4420,0.8545
1,drinking,0.0503,0.2478,1.1292,3.4103,1.5411,0.7629
1,drinking,0.0535,0.2380,1.1345,3.2578,1.6479,0.9537
1,drinking,0.0574,0.2371,1.1348,3.3417,1.7700,0.9537
1,drinking,0.0537,0.2378,1.1379,3.5324,1.7395,0.8621
1,drinking,0.0547,0.2405,1.1252,3.6621,1.7242,0.8163
1,drinking,0.0544,0.2349,1.1399,3.8147,1.9226,0.7706
1,drinking,0.0510,0.2366,1.1338,3.9139,1.9913,0.6027
1,drinking,0.0544,0.2307,1.1335,3.9597,2.0905,0.7706
